county,well_records,median_depth_ft,depth_p25_ft,depth_p75_ft,median_static_water_level_ft,median_yield_gpm,complete_system_low_usd,complete_system_high_usd
"Anderson",1082,400,200,585,96,30,27600,46000
"Andrews",1739,120,108,150,80,20,7200,12000
"Angelina",961,215,130,315,54,15,13380,22300
"Aransas",1793,172,161,189,46,30,10560,17600
"Archer",111,75,40,140,20,5,4860,8100
"Armstrong",370,265,220,305,176,12,15900,26500
"Atascosa",1667,410,334,535,132,60,24000,40000
"Austin",3314,210,170,265,74,45,12600,21000
"Bailey",1174,215,180,244,131,130,12240,20400
"Bandera",2695,510,448,640,220,25,30600,51000
"Bastrop",2380,345,240,455,90,40,20400,34000
"Baylor",182,42,38,47,20,30,2520,4200
"Bee",1989,215,160,290,69,40,12660,21100
"Bell",1326,540,200,850,248,33,32400,54000
"Bexar",2678,500,380,700,220,20,27900,46500
"Blanco",2617,398,280,484,145,20,24300,40500
"Borden",235,140,75,190,135,30,9900,16500
"Bosque",1063,525,259,748,350,15,30000,50000
"Bowie",1101,79,60,200,35,25,4680,7800
"Brazoria",10631,341,195,452,52,60,21180,35300
"Brazos",1281,380,282,510,75,50,21660,36100
"Brewster",814,360,225,563,110,20,22980,38300
"Briscoe",310,172,104,225,61,25,8580,14300
"Brooks",367,440,365,561,86,50,24300,40500
"Brown",802,157,106,230,68,12,9840,16400
"Burleson",1968,410,277,580,75,50,24000,40000
"Burnet",5936,310,188,430,177,20,20700,34500
"Caldwell",977,269,200,363,80,30,15600,26000
"Calhoun",962,230,180,296,18,75,13800,23000
"Callahan",725,60,50,100,27,10,4260,7100
"Cameron",1125,90,45,135,10,40,3900,6500
"Camp",194,526,462,600,196,34,30780,51300
"Carson",585,556,380,720,364,21,33360,55600
"Cass",1100,377,320,480,127,20,21900,36500
"Castro",1790,386,360,411,311,17,23700,39500
"Chambers",1234,250,172,332,38,75,12600,21000
"Cherokee",1280,337,219,482,101,25,22800,38000
"Childress",395,155,104,215,70,12,9600,16000
"Clay",910,160,90,220,60,8,10200,17000
"Cochran",2222,226,200,250,110,46,13980,23300
"Coke",804,168,120,215,75,10,10200,17000
"Coleman",239,140,80,200,50,5,8580,14300
"Collin",691,910,719,1181,470,25,62400,104000
"Collingsworth",939,145,105,190,60,18,9600,16000
"Colorado",3678,171,136,232,66,40,10200,17000
"Comal",3965,495,400,600,250,10,29400,49000
